delta,tetha,alpha,beta,gamma,class
0.2628206246601234,0.11842732414011206,0.11094050166522645,0.043178167668668284,0.029977927114409924,1
0.42075000308473914,0.14181507729653825,0.1354313716652354,0.06798153438066169,0.0519190138895101,1
0.22583872566813462,0.15704598673166964,0.11089587482156574,0.03391268048724096,0.014219196060517249,1
0.2534182843970087,0.1746788439207793,0.1286710489799356,0.04072949899897735,0.020474709993125433,1
0.1918911732895921,0.13838053985707233,0.12407601536117481,0.03246817140245725,0.012085567900727906,1
0.10807612737367414,0.06904131737010943,0.07331653108743284,0.019180903473588598,0.0068286619156868,1
0.27219085397819964,0.1307376238991266,0.12181421010238727,0.04214880385124451,0.021525091113401246,1
0.15153164837511957,0.10187977092915379,0.09322887013192621,0.025541026084056763,0.008866340870039773,1
0.1399011527520836,0.07644380965150654,0.08277665440384892,0.023049516735478528,0.012725540019884636,1
0.30142376885987887,0.12583024561734335,0.11938059178278088,0.04082068555895409,0.02684645457161208,1
3.523072295466951,0.9160471864154651,0.4386259033526505,0.1926103524842776,0.09476272461522825,1
3.5262421135382844,0.7719796519829168,0.42752887118559896,0.18873414210773015,0.09747301560690086,1
3.3410186121676166,0.9127196956927676,0.42888857187255436,0.17854751565556745,0.0958657580090664,1
3.805114080831639,0.8860192383660891,0.4473879377519938,0.19763830774291255,0.10743956887925109,1
4.200149790344902,0.8527097636138058,0.42860886901825185,0.18992403681439365,0.10213593277516722,1
3.0013861942720377,0.7747580991455765,0.40978108066245367,0.16169015017171928,0.08251219253605281,1
3.506964156568775,0.7778139565855127,0.390260071052751,0.17659219962440514,0.09086398944261347,1
3.5249048516305863,0.9758696098538027,0.45408713778069604,0.19599785038598716,0.09511428204614472,1
3.308912775393484,0.8983649661907317,0.4375151634866563,0.18102429896052039,0.08790876120163209,1
3.4846498795803416,0.9289920748008745,0.4431132844625099,0.19296420353925375,0.09575903454787493,1
